scientific_name,ID,Class
Raja binoculata,fish,cartilaginous
Raja rhina,fish,cartilaginous
Squalus suckleyi,fish,cartilaginous
Bathyraja trachura,fish,cartilaginous
Galeorhinus galeus,fish,cartilaginous
Hydrolagus colliei,fish,cartilaginous
Raja inornata,fish,cartilaginous
Bathyraja,fish,cartilaginous
Bathyraja kincaidii,fish,cartilaginous
Bathyraja parmifera,fish,cartilaginous
Bathyraja spinosissima,fish,cartilaginous
Raja,fish,cartilaginous
Raja stellulata,fish,cartilaginous
Rajidae,fish,cartilaginous
Rajiformes,fish,cartilaginous
Atheresthes stomias,fish,flatfish
Citharichthys sordidus,fish,flatfish
Eopsetta jordani,fish,flatfish
Glyptocephalus zachirus,fish,flatfish
Hippoglossoides elassodon,fish,flatfish
Isopsetta isolepis,fish,flatfish
Lepidopsetta bilineata,fish,flatfish
Microstomus pacificus,fish,flatfish
Parophrys vetulus,fish,flatfish
Platichthys stellatus,fish,flatfish
Pleuronichthys decurrens,fish,flatfish
Psettichthys melanostictus,fish,flatfish
Acipenser medirostris,fish,non-FMP
Agonidae,fish,non-FMP
Agonopsis sterletus,fish,non-FMP
Agonopsis vulsa,fish,non-FMP
Alepisaurus ferox,fish,non-FMP
Alepocephalus tenebrosus,fish,non-FMP
Allosmerus elongatus,fish,non-FMP
Alosa sapidissima,fish,non-FMP
Ammodytes hexapterus,fish,non-FMP
Anarrhichthys ocellatus,fish,non-FMP
Apristurus brunneus,fish,non-FMP
Argentina sialis,fish,non-FMP
Argentinidae,fish,non-FMP
Argyropelecus,fish,non-FMP
Arhynchobatidae,fish,non-FMP
Bathyagonus alascanus,fish,non-FMP
Bathyagonus nigripinnis,fish,non-FMP
Bathyagonus pentacanthus,fish,non-FMP
Bathymaster signatus,fish,non-FMP
Bothidae,fish,non-FMP
Chaenophryne longiceps,fish,non-FMP
Chauliodus macouni,fish,non-FMP
Chesnonia verrucosa,fish,non-FMP
Chilara taylori,fish,non-FMP
Chitonotus pugetensis,fish,non-FMP
Citharichthys,fish,non-FMP
Citharichthys stigmaeus,fish,non-FMP
Clinocottus acuticeps,fish,non-FMP
Clupea pallasii,fish,non-FMP
Cololabis saira,fish,non-FMP
Cottidae,fish,non-FMP
Cryptacanthodes aleutensis,fish,non-FMP
Cryptacanthodes giganteus,fish,non-FMP
Cymatogaster aggregata,fish,non-FMP
Diaphus theta,fish,non-FMP
Embassichthys bathybius,fish,non-FMP
Engraulidae,fish,non-FMP
Engraulis mordax,fish,non-FMP
Enophrys bison,fish,non-FMP
Enophrys taurina,fish,non-FMP
Entosphenus tridentata,fish,non-FMP
Eptatretus,fish,non-FMP
Eptatretus deani,fish,non-FMP
Eptatretus stoutii,fish,non-FMP
fish unident.,fish,non-FMP
Gadus chalcogrammus,fish,non-FMP
Gymnocanthus tricuspis,fish,non-FMP
Hemilepidotus,fish,non-FMP
Hemilepidotus hemilepidotus,fish,non-FMP
Hemilepidotus spinosus,fish,non-FMP
Hexagrammos,fish,non-FMP
Hexanchus griseus,fish,non-FMP
Hippoglossus stenolepis,fish,non-FMP
Hypomesus pretiosus,fish,non-FMP
Icelinus borealis,fish,non-FMP
Icelinus burchami,fish,non-FMP
Icelinus filamentosus,fish,non-FMP
Icelinus fimbriatus,fish,non-FMP
Icelinus oculatus,fish,non-FMP
Icelinus tenuis,fish,non-FMP
Icichthys lockingtoni,fish,non-FMP
Icosteus aenigmaticus,fish,non-FMP
Idiacanthus antrostomus,fish,non-FMP
Jordania zonope,fish,non-FMP
Lampanyctus,fish,non-FMP
Lampanyctus ritteri,fish,non-FMP
Lepidopsetta,fish,non-FMP
Lepidopsetta polyxystra,fish,non-FMP
Leptocottus armatus,fish,non-FMP
Liparis fucensis,fish,non-FMP
Liparis pulchellus,fish,non-FMP
Lycenchelys crotalinus,fish,non-FMP
Lycodes brevipes,fish,non-FMP
Lycodes cortezianus,fish,non-FMP
Lycodes diapterus,fish,non-FMP
Lycodes pacificus,fish,non-FMP
Lycodes palearis,fish,non-FMP
Lyopsetta exilis,fish,non-FMP
Microgadus proximus,fish,non-FMP
Mola mola,fish,non-FMP
Myctophidae,fish,non-FMP
Myxinidae,fish,non-FMP
Nautichthys oculofasciatus,fish,non-FMP
Odontopyxis trispinosa,fish,non-FMP
Oncorhynchus kisutch,fish,non-FMP
Oncorhynchus tshawytscha,fish,non-FMP
Oneirodidae,fish,non-FMP
Ophidiidae,fish,non-FMP
Osmeridae,fish,non-FMP
Osmerus mordax,fish,non-FMP
Paricelinus hopliticus,fish,non-FMP
Peprilus simillimus,fish,non-FMP
Petromyzontidae,fish,non-FMP
Plectobranchus evides,fish,non-FMP
Pleuronectiformes,fish,non-FMP
Pleuronichthys verticalis,fish,non-FMP
Podothecus accipenserinus,fish,non-FMP
Porichthys notatus,fish,non-FMP
Poroclinus rothrocki,fish,non-FMP
Radulinus asprellus,fish,non-FMP
Rhacochilus vacca,fish,non-FMP
Rhamphocottus richardsoni,fish,non-FMP
Ronquilus jordani,fish,non-FMP
Sardinops sagax,fish,non-FMP
Scomber japonicus,fish,non-FMP
Scomberesocidae,fish,non-FMP
Scombridae,fish,non-FMP
Scyliorhinidae,fish,non-FMP
Selachii sharks,fish,non-FMP
Somniosus pacificus,fish,non-FMP
Spirinchus starksi,fish,non-FMP
Spirinchus thaleichthys,fish,non-FMP
Stenobrachius leucopsarus,fish,non-FMP
Sternoptychidae,fish,non-FMP
Stomias atriventer,fish,non-FMP
Thaleichthys pacificus,fish,non-FMP
Torpedo californica,fish,non-FMP
Trachipterus altivelis,fish,non-FMP
Trachurus symmetricus,fish,non-FMP
Trichodon trichodon,fish,non-FMP
Triglops macellus,fish,non-FMP
Xeneretmus latifrons,fish,non-FMP
Xeneretmus leiops,fish,non-FMP
Xeneretmus triacanthus,fish,non-FMP
Zaniolepis frenata,fish,non-FMP
Zaniolepis latipinnis,fish,non-FMP
Zaprora silenus,fish,non-FMP
Zoarcidae,fish,non-FMP
Sebastes,fish,rockfish
Sebastes alutus,fish,rockfish
Sebastes auriculatus,fish,rockfish
Sebastes aurora,fish,rockfish
Sebastes babcocki,fish,rockfish
Sebastes borealis,fish,rockfish
Sebastes brevispinis,fish,rockfish
Sebastes carnatus,fish,rockfish
Sebastes caurinus,fish,rockfish
Sebastes chlorostictus,fish,rockfish
Sebastes crameri,fish,rockfish
Sebastes diploproa,fish,rockfish
Sebastes elongatus,fish,rockfish
Sebastes emphaeus,fish,rockfish
Sebastes ensifer,fish,rockfish
Sebastes entomelas,fish,rockfish
Sebastes eos,fish,rockfish
Sebastes flavidus,fish,rockfish
Sebastes goodei,fish,rockfish
Sebastes helvomaculatus,fish,rockfish
Sebastes hopkinsi,fish,rockfish
Sebastes jordani,fish,rockfish
Sebastes levis,fish,rockfish
Sebastes maliger,fish,rockfish
Sebastes melanops,fish,rockfish
Sebastes melanostomus,fish,rockfish
Sebastes mystinus,fish,rockfish
Sebastes nigrocinctus,fish,rockfish
Sebastes paucispinis,fish,rockfish
Sebastes pinniger,fish,rockfish
Sebastes proriger,fish,rockfish
Sebastes reedi,fish,rockfish
Sebastes rosaceus,fish,rockfish
Sebastes ruberrimus,fish,rockfish
