,bottom_temp,PDO,NPGO,depth_m,latitude,year,julian,grain_size
200303003005,7.12,0.01,0.87,172.68,47.01,2003.00,243.00,4.16
200303003010,7.16,0.01,0.87,137.40,47.64,2003.00,244.00,4.82
200303003011,7.08,0.01,0.87,98.80,47.73,2003.00,245.00,3.95
200303003012,7.09,0.01,0.87,123.99,47.84,2003.00,245.00,5.32
200303003013,6.89,0.01,0.87,174.21,47.84,2003.00,245.00,5.81
200303003027,7.20,0.01,0.87,99.17,48.00,2003.00,248.00,4.86
200303003034,7.23,0.01,0.87,182.95,47.29,2003.00,250.00,4.36
200303003035,7.36,0.01,0.87,106.45,47.03,2003.00,250.00,4.22
200303003036,7.62,0.01,0.87,53.42,46.53,2003.00,254.00,4.06
200303003042,7.50,0.01,0.87,142.26,45.95,2003.00,255.00,6.07
200303003043,7.50,0.01,0.87,173.83,45.79,2003.00,255.00,4.40
200303003044,7.58,0.01,0.87,143.98,45.72,2003.00,256.00,4.56
200303003048,7.49,0.01,0.87,164.19,45.09,2003.00,256.00,3.90
200303003055,7.89,0.01,0.87,103.41,44.70,2003.00,258.00,2.62
200303003056,7.87,0.01,0.87,72.59,44.51,2003.00,258.00,1.86
200303003057,8.03,0.01,0.87,75.57,44.33,2003.00,258.00,1.82
200303003058,7.96,0.01,0.87,98.74,43.94,2003.00,258.00,3.13
200303003064,7.75,0.01,0.87,198.59,43.27,2003.00,266.00,4.42
200303003066,7.67,0.01,0.87,143.87,42.94,2003.00,266.00,4.14
200303003069,8.18,0.01,0.87,149.88,42.70,2003.00,267.00,4.16
200303003072,8.40,0.01,0.87,171.45,42.36,2003.00,269.00,4.59
200303003076,8.62,0.01,0.87,62.70,41.69,2003.00,270.00,5.43
200303003077,8.39,0.01,0.87,153.55,41.52,2003.00,270.00,4.86
200303003081,8.74,0.01,0.87,80.26,41.36,2003.00,271.00,5.40
200303003082,8.17,0.01,0.87,180.85,41.27,2003.00,271.00,6.54
200303006001,6.73,0.68,0.78,140.73,46.16,2003.00,174.00,4.08
200303006003,6.88,0.68,0.78,107.46,46.76,2003.00,174.00,5.10
200303006004,6.90,0.68,0.78,106.09,47.60,2003.00,175.00,3.82
200303006005,6.72,0.68,0.78,176.68,47.67,2003.00,175.00,5.59
200303006007,6.72,0.68,0.78,149.06,47.65,2003.00,175.00,4.96
200303006025,6.56,0.68,0.78,96.65,47.91,2003.00,179.00,4.67
200303006026,6.78,0.68,0.78,107.92,47.78,2003.00,180.00,4.50
200303006031,6.61,0.96,1.20,88.89,47.23,2003.00,181.00,2.75
200303006032,6.36,0.96,1.20,182.34,46.97,2003.00,181.00,4.32
200303006037,6.60,0.96,1.20,122.47,46.23,2003.00,186.00,4.17
200303006039,6.41,0.96,1.20,193.38,46.01,2003.00,186.00,4.39
200303006040,6.74,0.96,1.20,92.34,45.92,2003.00,186.00,3.28
200303006044,6.45,0.96,1.20,155.46,45.60,2003.00,187.00,4.05
200303006053,7.05,0.96,1.20,96.86,44.88,2003.00,189.00,2.52
200303006056,6.80,0.96,1.20,178.40,44.57,2003.00,190.00,3.72
200303006057,7.02,0.96,1.20,96.13,44.35,2003.00,190.00,1.85
200303006058,7.04,0.96,1.20,81.22,44.19,2003.00,190.00,1.65
200303006059,7.02,0.96,1.20,176.47,43.92,2003.00,191.00,4.18
200303006066,7.26,0.96,1.20,142.72,42.90,2003.00,195.00,4.41
200303006067,7.06,0.96,1.20,149.13,42.98,2003.00,195.00,4.66
200303006068,6.93,0.96,1.20,163.46,43.04,2003.00,196.00,3.91
200303006073,7.28,0.96,1.20,198.74,42.78,2003.00,197.00,4.49
200303006075,7.07,0.96,1.20,160.10,42.61,2003.00,197.00,3.86
200303006080,7.58,0.96,1.20,132.12,42.14,2003.00,198.00,4.67
200303006084,7.88,0.96,1.20,62.17,41.60,2003.00,199.00,4.88
200303006085,7.77,0.96,1.20,83.31,41.47,2003.00,199.00,5.81
200303006089,7.86,0.96,1.20,94.26,41.32,2003.00,201.00,5.59
200303008008,6.81,0.01,0.87,198.77,47.29,2003.00,244.00,4.91
200303008019,6.99,0.01,0.87,176.65,48.00,2003.00,246.00,6.09
200303008020,7.09,0.01,0.87,167.73,47.97,2003.00,247.00,6.27
