,bottom_temp,PDO,NPGO,depth_m,latitude,year,julian,grain_size
197706004164,8.60,0.64,1.28,123.00,43.02,1977.00,223.00,4.55
197706004165,8.90,0.64,1.28,95.00,43.00,1977.00,223.00,3.56
197706004166,7.80,0.64,1.28,141.00,43.16,1977.00,223.00,3.80
197706022135,10.80,0.64,1.28,101.00,42.85,1977.00,234.00,4.15
197706025008,14.70,0.64,1.28,135.00,43.62,1977.00,214.00,3.78
197706025009,8.60,0.64,1.28,99.00,43.61,1977.00,214.00,4.07
197706025013,8.10,0.64,1.28,128.00,43.48,1977.00,215.00,3.39
197706025014,7.30,0.64,1.28,99.00,43.47,1977.00,215.00,3.59
197706025015,9.00,0.64,1.28,112.00,43.64,1977.00,215.00,4.08
197706025017,8.50,0.64,1.28,146.00,42.58,1977.00,216.00,4.02
197706025018,8.90,0.64,1.28,146.00,42.33,1977.00,216.00,4.77
197706025027,8.10,0.64,1.28,101.00,42.06,1977.00,217.00,4.38
197706620001,14.20,0.64,1.28,108.00,46.14,1977.00,241.00,4.28
197706620003,9.40,0.64,1.28,123.00,45.97,1977.00,242.00,4.94
197706620004,10.80,0.64,1.28,115.00,45.90,1977.00,242.00,3.74
197706620005,7.20,0.64,1.28,141.00,45.89,1977.00,242.00,4.86
197706620006,10.30,0.64,1.28,135.00,45.98,1977.00,242.00,5.67
197706620007,11.10,0.64,1.28,148.00,45.95,1977.00,242.00,6.26
197706620008,7.20,0.64,1.28,146.00,45.88,1977.00,242.00,6.59
197706620009,9.40,-0.55,0.77,185.00,45.84,1977.00,243.00,2.11
198006019052,8.00,0.23,-0.99,143.00,41.61,1980.00,203.00,5.55
198006019060,7.20,0.51,-1.08,155.00,43.24,1980.00,216.00,4.74
198006019071,7.30,0.51,-1.08,128.00,42.91,1980.00,218.00,4.44
198006019073,7.70,0.51,-1.08,57.00,42.94,1980.00,218.00,3.22
198006019110,9.20,0.51,-1.08,62.00,44.47,1980.00,225.00,2.03
198006019117,7.40,0.51,-1.08,183.00,43.93,1980.00,226.00,3.26
198006019125,8.40,0.51,-1.08,66.00,43.88,1980.00,226.00,2.34
198006019127,7.40,0.51,-1.08,112.00,43.93,1980.00,227.00,3.23
198006019134,7.40,0.51,-1.08,179.00,44.12,1980.00,228.00,2.52
198006019141,7.60,0.51,-1.08,84.00,44.02,1980.00,228.00,2.34
198006019142,7.90,0.51,-1.08,68.00,44.38,1980.00,229.00,1.95
198006019147,7.70,0.51,-1.08,84.00,44.23,1980.00,231.00,1.76
198006019157,8.00,0.51,-1.08,79.00,44.67,1980.00,232.00,2.12
198006019158,7.80,0.51,-1.08,99.00,44.76,1980.00,232.00,2.53
198006019159,7.50,0.51,-1.08,70.00,44.86,1980.00,232.00,2.17
198006019160,7.50,0.51,-1.08,88.00,44.95,1980.00,232.00,1.82
198006019169,7.50,0.51,-1.08,82.00,45.06,1980.00,233.00,1.99
198006019170,7.70,0.51,-1.08,66.00,45.66,1980.00,234.00,2.15
198006019177,7.30,0.51,-1.08,70.00,46.07,1980.00,236.00,3.20
198006019191,7.50,0.51,-1.08,59.00,46.33,1980.00,238.00,3.96
198006019193,7.40,0.51,-1.08,82.00,46.31,1980.00,238.00,4.57
198006019197,6.80,0.51,-1.08,199.00,46.28,1980.00,238.00,3.95
198006019198,7.70,0.51,-1.08,93.00,46.63,1980.00,239.00,4.92
198006019212,7.20,0.10,-0.70,119.00,46.90,1980.00,249.00,5.57
198006019230,7.30,0.10,-0.70,93.00,47.12,1980.00,251.00,3.37
198006019236,7.10,0.10,-0.70,176.00,47.21,1980.00,252.00,4.57
198006019243,7.50,0.10,-0.70,84.00,47.37,1980.00,254.00,2.94
198006019245,7.60,0.10,-0.70,60.00,47.77,1980.00,254.00,3.05
198306039045,8.70,3.51,-0.05,139.00,41.25,1983.00,204.00,6.45
198306039046,9.10,3.51,-0.05,71.00,41.24,1983.00,204.00,4.90
198306039047,8.60,3.51,-0.05,139.00,41.62,1983.00,205.00,5.58
198306039048,8.40,3.51,-0.05,199.00,41.62,1983.00,205.00,5.58
