"","arrowtooth flounder","big skate","bocaccio","butter sole","California skate","canary rockfish","chilipepper","curlfin sole","darkblotched rockfish","Dover sole","English sole","flathead sole","greenspotted rockfish","greenstriped rockfish","kelp greenling","lingcod","longnose skate","Pacific cod","Pacific ocean perch","Pacific sanddab","Pacific spiny dogfish","petrale sole","pygmy rockfish","quillback rockfish","redbanded rockfish","redstripe rockfish","rex sole","rosethorn rockfish","rougheye and blackspotted rockfish","sablefish","sand sole","sandpaper skate","sharpchin rockfish","shortbelly rockfish","shortspine thornyhead","silvergray rockfish","southern rock sole","splitnose rockfish","spotted ratfish","starry flounder","starry skate","stripetail rockfish","widow rockfish","yelloweye rockfish","yellowtail rockfish"
"200303003005",1.11214408467166,0,1.96327477688723,0,0,1.11214408467166,0,0,0,0.928477558529243,0,0,0,3.74544038870788,0,0.928477558529243,0,0,0,0,0,0,3.31532451413515,0,0,0.928477558529243,1.40150482896856,4.83630862755734,0,0.703313155330589,0,0,7.00677759223719,0.412253894623196,0,1.6256542324418,0,0,1.26725435057957,0,0,0,5.49869943752316,1.26725435057957,5.88522344985478
"200303003010",2.53434933435135,0,0,0,0,0,0,0,0,3.49415987477332,0.896507550827672,1.98620010332284,0,0,0,1.58297239924911,2.45452238823309,0,0,0,3.75176358194861,1.36150362190148,0,0,0,0,2.0504585966449,0,0,2.80200386043872,0,0.676688494753398,0,0,0,0,0,0,1.98620010332284,0,0,0,0,0,0
"200303003011",1.66445136600313,0,0,0,0,0,0,0,0,5.1145276406402,3.91704841026742,0.428756263104387,0,0,0,0.428756263104387,1.14466444522542,0,0,3.53197706417704,0.727883592838228,2.36426720971491,0,0,0,0,4.28684286716479,0,0,0,0,0,0,0,0,0,0,0,1.43795673198034,0,0,0,0,0,0
"200303003012",2.63123229482534,0,0,0,0,0,0,0,1.06807045159304,4.0897524747617,2.66502556760725,3.5524361732382,0,0.670328697384337,0,0.390310785515849,1.66713288326663,0,0,0,2.21008355853395,1.46835331776499,0,0,0,0,3.52469302842577,0,0,1.66713288326663,0,0,0,0,0,0,0,0,1.22000345822031,0,0,0,0,0,4.49762750713109
"200303003013",1.64355524508208,0,0,0,0,1.64355524508208,0,0,1.44599594671767,4.23653336934989,1.72939734779257,0,0,4.33843082211918,0,2.13056338157133,1.44599594671767,0,1.04903759803931,0,6.02181083033762,1.88170782983501,0,0,0,0,2.23506186006052,2.76248900739083,0,1.04903759803931,0,1.33034639474673,2.76248900739083,0,1.33034639474673,0,0,2.84667494813178,2.01385684842967,0,0,1.64355524508208,0,0.871785577006087,0
"200303003027",1.12852306852008,0.420532325709201,0,0,0,0,0,0,0,2.9866809445981,3.15611466192333,0,0,0.420532325709201,0,0.420532325709201,0,0.420532325709201,0,3.8612917341279,0,1.53888746868888,0,0,0,0,3.56961575604738,0,0,0.420532325709201,0,0,0,0,0,0,0,0,1.28477638477814,0,0,0,0,0,0
"200303003034",3.38397263677448,0.363442420698086,0,0,0,1.16044722062013,0,0,3.63270191818735,4.10437735528007,0.363442420698086,1.76147076920458,0,3.78306763886395,0,2.23293151292285,1.16044722062013,0,0.363442420698086,0,2.76639768185714,1.40312794761129,0,0,1.90173977485521,0,4.51876566747296,0.629431829667164,2.55204686757329,1.90173977485521,0,1.28913133155376,1.90173977485521,0,1.01272324863503,0,0,3.71070835124871,1.50544897097553,0,0,0.363442420698086,0,0,2.02473197073735
"200303003035",3.31951726724264,0,0,0,0,0,0,0,0,4.7478830726121,1.67904202838666,3.74198716908201,0,0,0,0.677516588174746,1.84520548359643,0,0,2.77378918086728,2.64484449065682,1.58431033265271,0,0,0,0,3.53892462536253,0,0,0.395071906302378,0,0.897504487842363,0,0,0,0,0,0,2.27427170160608,0,0,0,0,0,0.395071906302378
"200303003036",2.67421716037601,1.53361092361404,0,0.418229284019808,0,0,0,0,0,6.3868880289644,5.64163936633507,0,0,0,0,0,0,0.418229284019808,0,6.05874719121841,2.04775693439512,3.00632359729657,0,0,0,0,6.76639813829648,0,0,0,0.418229284019808,0,0,0,0,0,0,0,0.418229284019808,0,0,0,0,0,0
"200303003042",3.56637364532304,0.381652571213145,0,0,0,0,0,0,0.657212304489742,4.04706211048569,0,2.90109271131091,0,0,0,0.657212304489742,1.55130548091255,0,0,0.657212304489742,1.05040631719859,1.20102313336409,0,0,0,0,3.24373486984657,0,0,1.20102313336409,0,1.05040631719859,0,0,0,0,0,0,2.5712587218098,0,0,0,0,0,0
