"","arrowtooth flounder","big skate","black rockfish","bocaccio","butter sole","canary rockfish","chilipepper","curlfin sole","darkblotched rockfish","Dover sole","English sole","flathead sole","greenspotted rockfish","greenstriped rockfish","kelp greenling","lingcod","longnose skate","Pacific cod","Pacific ocean perch","Pacific sanddab","Pacific spiny dogfish","petrale sole","pygmy rockfish","redbanded rockfish","redstripe rockfish","rex sole","rosethorn rockfish","rougheye and blackspotted rockfish","sablefish","sand sole","sandpaper skate","sharpchin rockfish","shortbelly rockfish","shortspine thornyhead","silvergray rockfish","southern rock sole","splitnose rockfish","spotted ratfish","stripetail rockfish","widow rockfish","yelloweye rockfish","yellowtail rockfish"
"197706004164",0.535947596638092,0,0,0,0,0,0,0,0.665479249988333,2.45410414623188,0.212168068803268,0,0,0.212168068803268,0,0.212168068803268,0,0,0,0,0,0,0,0,0,0.387105137872603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197706004165",0.406947918224327,0,0,0,0,0,0,0,0,1.10157571342933,0.561521854550607,0.224033501204905,0,0,0,0,0.406947918224327,0,0,0.224033501204905,0,0.695370572026243,0,0,0,0,0,0,1.56165298027797,0,0,0,0,0,0,0,0,0,0,0,0,0.561521854550607
"197706004166",1.10157571342933,0,0,0.224033501204905,0,2.11411769430281,0,0,0,3.02465051807636,0,0,0,0,0,0.406947918224327,0,0,0,0,0,0.224033501204905,0,0,0,0,0,0,0,0,0,0.406947918224327,0,0,0,0,0,0,0,0.918958209031875,0.561521854550607,1.10157571342933
"197706022135",0,0,0,0,0,0.288822607341771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64328706085173
"197706025008",1.32996442389845,0,0,0,0,0.269255752000981,0,0,1.24470746707839,3.14618774886139,0,0,0,1.48135192384148,0,0,0.269255752000981,0,0,0,0.481178303131529,0,0,0,0,1.24470746707839,0,0,0.655948626494814,0,0,0,0,0,0,0,0,0,0,0,0,0
"197706025009",0.288822607341771,0,0,0,0,0.288822607341771,0,0,0,0.512649855718235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288822607341771,0,0,0,0,0,0,0,2.04084341124512
"197706025013",0.97625240383862,0,0,0.212168068803268,0,0.665479249988333,0,0,0.780140279211361,0,2.36936317423857,0,0,0.212168068803268,0,0,0.212168068803268,0,0.212168068803268,1.28090947427037,0,0.535947596638092,0,0,0,1.46070104221041,0,0,3.08187777286531,0,0,0,0,0,0,0,0,0,0,0,0,0.665479249988333
"197706025014",0.665479249988333,0,0,0,0,0,0,0,0,0,0,0,0,0.535947596638092,0,0,0,0,0,0,0.212168068803268,1.21299892734266,0,0,0,2.39123109259919,0,0,1.6590661801195,0,0,0,0,0,0,0,0,0,0,0,0,0.212168068803268
"197706025015",0,0,0,0,0,0,0,0,0,0.237311286107021,0,0,0,0,0,0,0,0,0,0,0,0.237311286107021,0,0,0,0.237311286107021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237311286107021
"197706025017",0,0,0,0,0,0.428967700384828,0.237311286107021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96942240461382
"197706025018",0,0,0,0,0,0,0,0,0,0.813400346302632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224033501204905,0,0,0,0,0,0,0,0,0.406947918224327,0,0,0,0
"197706025027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224033501204905,0,0,0
"197706620001",0.269255752000981,0,0,0,0,0,0,0,0.481178303131529,2.97243255612043,0,0,0,0,0,0,0,0.481178303131529,0,0,0,0,0,0,0,1.40852021429548,0,0,0.269255752000981,0,0,0,0,0,0,0,0,0.269255752000981,0,0,0,0
"197706620003",0.224033501204905,0,0,0,0,0.406947918224327,0,0,0.224033501204905,0.813400346302632,0,0.561521854550607,0,0.406947918224327,0,0,0,0,0,0,0,0,0,0,0,1.01442982565929,0,0,0,0,0,0,0,0,0,0,0,0.224033501204905,0,0.224033501204905,0,0
"197706620004",0.849902888460862,0,0,0,0,0.512649855718235,0,0,2.04084341124512,2.20127391629773,0,0,0,0.512649855718235,0,0,0,0.512649855718235,0,0,0.288822607341771,0,0,0,0,1.20716302967329,0,0,1.61308305457472,0,0,0,0,0.288822607341771,0,0,0,0.288822607341771,0,0,0,0
