"trawl_id","date_yyyymmdd","year","project","depth_m","latitude","longitude","temperature_at_gear_c_der","PDO","NPGO"
200403008067,20040906,2004,"Groundfish Slope and Shelf Combination Survey",131.7826,43.67444444,-124.46,8.116,0.75,0.37640228
200503010013,20050531,2005,"Groundfish Slope and Shelf Combination Survey",136.0367,45.83416667,-124.2775,6.9375,1.86,-0.78952824
200503010038,20050606,2005,"Groundfish Slope and Shelf Combination Survey",135.9776,46.3175,-124.46972222,6.275,1.17,-1.2838288
200603018048,20060831,2006,"Groundfish Slope and Shelf Combination Survey",143.1473,44.60527778,-124.54888889,7.8829,-0.65,-0.36663439
201403008020,20140827,2014,"Groundfish Slope and Shelf Combination Survey",61.0693,46.58861111,-124.26888889,7.6049,0.67,-0.54494684
200406014181,20040707,2004,"Groundfish Triennial Shelf Survey",70.1576,44.56916667,-124.2325,7.5494,0.44,0.41156805
201403008021,20140827,2014,"Groundfish Slope and Shelf Combination Survey",88.6904,46.75972222,-124.4575,7.5299,0.67,-0.54494684
201403008022,20140827,2014,"Groundfish Slope and Shelf Combination Survey",79.4491,46.79083333,-124.40472222,7.5545,0.67,-0.54494684
200406016154,20040711,2004,"Groundfish Triennial Shelf Survey",89.4097,47.73972222,-124.81583333,NA,0.44,0.41156805
200303003005,20030901,2003,"Groundfish Slope and Shelf Combination Survey",172.6837,47.01416667,-124.98277778,7.1209,0.01,0.8692253
200303003010,20030902,2003,"Groundfish Slope and Shelf Combination Survey",137.403,47.64055556,-124.94277778,7.1642,0.01,0.8692253
200303003011,20030903,2003,"Groundfish Slope and Shelf Combination Survey",98.7985,47.72861111,-124.85333333,7.0815,0.01,0.8692253
200303003012,20030903,2003,"Groundfish Slope and Shelf Combination Survey",123.9861,47.84111111,-125.01333333,7.0883,0.01,0.8692253
200303003013,20030903,2003,"Groundfish Slope and Shelf Combination Survey",174.2101,47.83888889,-125.10555556,6.8857,0.01,0.8692253
200303003027,20030906,2003,"Groundfish Slope and Shelf Combination Survey",99.1679,47.99777778,-124.9575,7.2024,0.01,0.8692253
200303003034,20030908,2003,"Groundfish Slope and Shelf Combination Survey",182.9549,47.2925,-124.76416667,7.225,0.01,0.8692253
200303003035,20030908,2003,"Groundfish Slope and Shelf Combination Survey",106.4511,47.02916667,-124.68416667,7.3569,0.01,0.8692253
200303003036,20030912,2003,"Groundfish Slope and Shelf Combination Survey",53.4226,46.5275,-124.25027778,7.6177,0.01,0.8692253
200303003042,20030913,2003,"Groundfish Slope and Shelf Combination Survey",142.2581,45.95111111,-124.36527778,7.4994,0.01,0.8692253
200303003043,20030913,2003,"Groundfish Slope and Shelf Combination Survey",173.8265,45.79111111,-124.525,7.4995,0.01,0.8692253
200303003044,20030914,2003,"Groundfish Slope and Shelf Combination Survey",143.9795,45.72277778,-124.30472222,7.5839,0.01,0.8692253
200303003048,20030914,2003,"Groundfish Slope and Shelf Combination Survey",164.1932,45.09472222,-124.25972222,7.4891,0.01,0.8692253
200303003055,20030916,2003,"Groundfish Slope and Shelf Combination Survey",103.4122,44.69694444,-124.42055556,7.8945,0.01,0.8692253
200303003056,20030916,2003,"Groundfish Slope and Shelf Combination Survey",72.5937,44.51083333,-124.24638889,7.8696,0.01,0.8692253
200303003057,20030916,2003,"Groundfish Slope and Shelf Combination Survey",75.5689,44.33277778,-124.30833333,8.0278,0.01,0.8692253
200303003058,20030916,2003,"Groundfish Slope and Shelf Combination Survey",98.7353,43.93722222,-124.28833333,7.9643,0.01,0.8692253
200303003064,20030924,2003,"Groundfish Slope and Shelf Combination Survey",198.5863,43.27361111,-124.70361111,7.7496,0.01,0.8692253
200303003066,20030924,2003,"Groundfish Slope and Shelf Combination Survey",143.8737,42.94194444,-124.84166667,7.672,0.01,0.8692253
200303003069,20030925,2003,"Groundfish Slope and Shelf Combination Survey",149.8785,42.70138889,-124.67944444,8.1808,0.01,0.8692253
200303003072,20030927,2003,"Groundfish Slope and Shelf Combination Survey",171.4505,42.35888889,-124.67194444,8.3952,0.01,0.8692253
200303003076,20030928,2003,"Groundfish Slope and Shelf Combination Survey",62.6986,41.69027778,-124.29416667,8.6217,0.01,0.8692253
200303003077,20030928,2003,"Groundfish Slope and Shelf Combination Survey",153.5479,41.52388889,-124.46722222,8.3859,0.01,0.8692253
200303003081,20030929,2003,"Groundfish Slope and Shelf Combination Survey",80.2624,41.36472222,-124.26555556,8.7422,0.01,0.8692253
200303003082,20030929,2003,"Groundfish Slope and Shelf Combination Survey",180.8479,41.27111111,-124.39944444,8.1719,0.01,0.8692253
200303006004,20030625,2003,"Groundfish Slope and Shelf Combination Survey",106.0853,47.60194444,-124.81555556,6.9012,0.68,0.77769152
200303006025,20030629,2003,"Groundfish Slope and Shelf Combination Survey",96.6484,47.90611111,-124.91472222,6.5591,0.68,0.77769152
200303006026,20030630,2003,"Groundfish Slope and Shelf Combination Survey",107.9153,47.77555556,-124.91,6.7764,0.68,0.77769152
200303006031,20030701,2003,"Groundfish Slope and Shelf Combination Survey",88.891,47.22555556,-124.62944444,6.6147,0.96,1.2024408
200406014200,20040714,2004,"Groundfish Triennial Shelf Survey",138.8189,45.24333333,-124.19055556,7.237,0.44,0.41156805
200303006037,20030706,2003,"Groundfish Slope and Shelf Combination Survey",122.4722,46.22555556,-124.36444444,6.5979,0.96,1.2024408
200303006039,20030706,2003,"Groundfish Slope and Shelf Combination Survey",193.3821,46.01416667,-124.65777778,6.4074,0.96,1.2024408
200303006040,20030706,2003,"Groundfish Slope and Shelf Combination Survey",92.3351,45.92222222,-124.15888889,6.7365,0.96,1.2024408
200303006044,20030707,2003,"Groundfish Slope and Shelf Combination Survey",155.4578,45.60055556,-124.31555556,6.4486,0.96,1.2024408
200303006053,20030709,2003,"Groundfish Slope and Shelf Combination Survey",96.8557,44.88166667,-124.185,7.0532,0.96,1.2024408
200303006057,20030710,2003,"Groundfish Slope and Shelf Combination Survey",96.1329,44.35083333,-124.60083333,7.0223,0.96,1.2024408
200303006058,20030710,2003,"Groundfish Slope and Shelf Combination Survey",81.2202,44.18777778,-124.30305556,7.0411,0.96,1.2024408
200303006059,20030711,2003,"Groundfish Slope and Shelf Combination Survey",176.4743,43.91805556,-124.74555556,7.0239,0.96,1.2024408
200303006066,20030715,2003,"Groundfish Slope and Shelf Combination Survey",142.7181,42.89694444,-124.72166667,7.2648,0.96,1.2024408
200303006075,20030717,2003,"Groundfish Slope and Shelf Combination Survey",160.1001,42.61083333,-124.68416667,7.0731,0.96,1.2024408
200303006080,20030718,2003,"Groundfish Slope and Shelf Combination Survey",132.1188,42.13638889,-124.52444444,7.5775,0.96,1.2024408
200303006084,20030719,2003,"Groundfish Slope and Shelf Combination Survey",62.1653,41.60388889,-124.29472222,7.8782,0.96,1.2024408
200303006085,20030719,2003,"Groundfish Slope and Shelf Combination Survey",83.3097,41.47027778,-124.31638889,7.7653,0.96,1.2024408
201503008011,20150524,2015,"Groundfish Slope and Shelf Combination Survey",194.7691,45.98944444,-124.65472222,6.5633,1.2,-0.71954145
201503008012,20150524,2015,"Groundfish Slope and Shelf Combination Survey",170.8194,45.9225,-124.58861111,6.9545,1.2,-0.71954145
200303008019,20030904,2003,"Groundfish Slope and Shelf Combination Survey",176.6456,47.99861111,-125.42416667,6.9905,0.01,0.8692253
200303008037,20030907,2003,"Groundfish Slope and Shelf Combination Survey",155.4036,47.02611111,-124.84361111,7.179,0.01,0.8692253
200303008039,20030908,2003,"Groundfish Slope and Shelf Combination Survey",88.4169,46.58305556,-124.40083333,7.3027,0.01,0.8692253
