julian,year,pres,latitude,longitude,thr
248,2004,1,43.67444444,-124.46,before
150,2005,1,45.83416667,-124.2775,before
156,2005,1,46.3175,-124.4697222,before
242,2006,1,44.60527778,-124.5488889,after
238,2014,1,46.58861111,-124.2688889,after
187,2004,0,44.56916667,-124.2325,before
238,2014,1,46.75972222,-124.4575,after
238,2014,1,46.79083333,-124.4047222,after
191,2004,0,47.73972222,-124.8158333,before
243,2003,1,47.01416667,-124.9827778,before
244,2003,1,47.64055556,-124.9427778,before
245,2003,1,47.72861111,-124.8533333,before
245,2003,1,47.84111111,-125.0133333,before
245,2003,1,47.83888889,-125.1055556,before
248,2003,1,47.99777778,-124.9575,before
250,2003,1,47.2925,-124.7641667,before
250,2003,1,47.02916667,-124.6841667,before
254,2003,1,46.5275,-124.2502778,before
255,2003,1,45.95111111,-124.3652778,before
255,2003,1,45.79111111,-124.525,before
256,2003,1,45.72277778,-124.3047222,before
256,2003,1,45.09472222,-124.2597222,before
258,2003,1,44.69694444,-124.4205556,before
258,2003,1,44.51083333,-124.2463889,before
258,2003,1,44.33277778,-124.3083333,before
258,2003,1,43.93722222,-124.2883333,before
266,2003,1,43.27361111,-124.7036111,before
266,2003,1,42.94194444,-124.8416667,before
267,2003,1,42.70138889,-124.6794444,before
269,2003,1,42.35888889,-124.6719444,before
270,2003,0,41.69027778,-124.2941667,before
270,2003,1,41.52388889,-124.4672222,before
271,2003,1,41.36472222,-124.2655556,before
271,2003,1,41.27111111,-124.3994444,before
175,2003,1,47.60194444,-124.8155556,before
179,2003,1,47.90611111,-124.9147222,before
180,2003,1,47.77555556,-124.91,before
181,2003,1,47.22555556,-124.6294444,before
194,2004,0,45.24333333,-124.1905556,before
186,2003,1,46.22555556,-124.3644444,before
186,2003,1,46.01416667,-124.6577778,before
186,2003,1,45.92222222,-124.1588889,before
187,2003,1,45.60055556,-124.3155556,before
189,2003,1,44.88166667,-124.185,before
190,2003,1,44.35083333,-124.6008333,before
190,2003,1,44.18777778,-124.3030556,before
191,2003,1,43.91805556,-124.7455556,before
195,2003,1,42.89694444,-124.7216667,before
197,2003,1,42.61083333,-124.6841667,before
198,2003,1,42.13638889,-124.5244444,before
199,2003,0,41.60388889,-124.2947222,before
199,2003,1,41.47027778,-124.3163889,before
143,2015,1,45.98944444,-124.6547222,after
143,2015,1,45.9225,-124.5886111,after
246,2003,0,47.99861111,-125.4241667,before
249,2003,1,47.02611111,-124.8436111,before
250,2003,1,46.58305556,-124.4008333,before
254,2003,1,46.11944444,-124.6525,before
255,2003,1,45.73833333,-124.3819444,before
255,2003,1,45.55972222,-124.1869444,before
258,2003,1,44.33555556,-124.39,before
259,2003,1,44.10722222,-124.3605556,before
144,2015,1,46.0675,-124.6136111,after
266,2003,1,42.99166667,-124.6283333,before
266,2003,0,42.80138889,-124.6447222,before
266,2003,1,42.72444444,-124.7061111,before
267,2003,1,42.41777778,-124.7113889,before
268,2003,1,42.24416667,-124.4722222,before
144,2015,1,46.15583333,-124.5422222,after
144,2015,1,46.75916667,-124.4705556,after
145,2015,1,47.59666667,-124.7,after
145,2015,1,47.82861111,-124.8997222,after
181,2003,1,46.70194444,-124.6088889,before
145,2015,1,47.96583333,-125.1608333,after
186,2003,1,45.91888889,-124.3441667,before
186,2003,1,45.66388889,-124.3102778,before
189,2003,1,44.64194444,-124.4294444,before
199,2003,1,41.63027778,-124.3566667,before
199,2003,1,41.48666667,-124.4861111,before
199,2003,0,41.45805556,-124.4230556,before
200,2003,1,41.36388889,-124.1902778,before
